cipher_id,openssl,gnutls,standard
"0xc0,0x1c",-,TLS_SRP_SHA_DSS_3DES_EDE_CBC_SHA1,-
"0xc0,0x1b",-,TLS_SRP_SHA_RSA_3DES_EDE_CBC_SHA1,-
"0xc0,0x1f",-,TLS_SRP_SHA_DSS_AES_128_CBC_SHA1,-
"0xc0,0x1e",-,TLS_SRP_SHA_RSA_AES_128_CBC_SHA1,-
"0xc0,0x22",-,TLS_SRP_SHA_DSS_AES_256_CBC_SHA1,-
"0xc0,0x21",-,TLS_SRP_SHA_RSA_AES_256_CBC_SHA1,-
"0xC0,0x30",ECDHE-RSA-AES256-GCM-SHA384,-,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384
"0xC0,0x2C",ECDHE-ECDSA-AES256-GCM-SHA384,-,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384
"0xC0,0x28",ECDHE-RSA-AES256-SHA384,-,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384
"0xC0,0x24",ECDHE-ECDSA-AES256-SHA384,-,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384
"0xC0,0x14",ECDHE-RSA-AES256-SHA,-,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA
"0xC0,0x0A",ECDHE-ECDSA-AES256-SHA,-,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA
"0xC0,0x22",SRP-DSS-AES-256-CBC-SHA,-,TLS_SRP_SHA_DSS_WITH_AES_256_CBC_SHA
"0xC0,0x21",SRP-RSA-AES-256-CBC-SHA,-,TLS_SRP_SHA_RSA_WITH_AES_256_CBC_SHA
"0x00,0xA3",DHE-DSS-AES256-GCM-SHA384,-,TLS_DHE_DSS_WITH_AES_256_GCM_SHA384
"0x00,0x9F",DHE-RSA-AES256-GCM-SHA384,-,TLS_DHE_RSA_WITH_AES_256_GCM_SHA384
"0x00,0x6B",DHE-RSA-AES256-SHA256,-,TLS_DHE_RSA_WITH_AES_256_CBC_SHA256
"0x00,0x6A",DHE-DSS-AES256-SHA256,-,TLS_DHE_DSS_WITH_AES_256_CBC_SHA256
"0xC0,0x19",AECDH-AES256-SHA,-,TLS_ECDH_anon_WITH_AES_256_CBC_SHA
"0xC0,0x20",SRP-AES-256-CBC-SHA,-,TLS_SRP_SHA_WITH_AES_256_CBC_SHA
